L/W,H/P,Wi/Wo,P/Wu,CPK obs
5,0.304791666666667,1.57142857142857,0.8,2.14044443345296
5,0.345958333333333,1.57142857142857,0.8,2.03086272566421
5,0.380333333333333,1.57142857142857,0.8,1.93327391637756
5,0.416208333333333,1.57142857142857,0.8,1.83444898992188
5,0.431333333333333,1.57142857142857,0.8,1.81872546964896
5,0.47325,1.57142857142857,0.8,1.70717781286015
5,0.481583333333333,1.57142857142857,0.8,1.70994160533154
5,0.506875,1.57142857142857,0.8,1.65444349535289
5,0.528416666666667,1.57142857142857,0.8,1.63087019389635
5,0.589583333333333,1.57142857142857,0.8,1.53977886548738
5,0.605083333333333,1.57142857142857,0.8,1.51379370208497
5,0.6425,1.57142857142857,0.8,1.45782787105541
5,0.664791666666667,1.57142857142857,0.8,1.44208342690016
5,0.71275,1.57142857142857,0.8,1.38057335082077
5,0.777333333333333,1.57142857142857,0.8,1.31519125899727
5,0.787916666666667,1.57142857142857,0.8,1.31118473120209
5,0.810583333333333,1.57142857142857,0.8,1.29742105353503
5,0.859708333333333,1.57142857142857,0.8,1.25679726526296
5,0.878208333333333,1.57142857142857,0.8,1.23941232448254
5,0.908416666666667,1.57142857142857,0.8,1.22547678140523
5,0.930708333333334,1.57142857142857,0.8,1.21305384994733
5,0.990791666666667,1.57142857142857,0.8,1.18716730406685
5,0.35125,1.57142857142857,0.666666666666667,1.98061536762155
5,0.3698,1.57142857142857,0.666666666666667,1.91512801427414
5,0.3816,1.57142857142857,0.666666666666667,1.90472500875119
5,0.39385,1.57142857142857,0.666666666666667,1.88303490730602
5,0.40925,1.57142857142857,0.666666666666667,1.85194135303636
5,0.4668,1.57142857142857,0.666666666666667,1.75221280771665
5,0.51215,1.57142857142857,0.666666666666667,1.66571509636234
5,0.52665,1.57142857142857,0.666666666666667,1.65564813572398
5,0.5507,1.57142857142857,0.666666666666667,1.60276648499628
5,0.5847,1.57142857142857,0.666666666666667,1.55893253541077
5,0.6255,1.57142857142857,0.666666666666667,1.50274986837144
5,0.6631,1.57142857142857,0.666666666666667,1.4498956709546
5,0.6717,1.57142857142857,0.666666666666667,1.44284116527158
5,0.7107,1.57142857142857,0.666666666666667,1.39441133587803
5,0.7533,1.57142857142857,0.666666666666667,1.35645650396924
5,0.78005,1.57142857142857,0.666666666666667,1.32762089553344
5,0.78865,1.57142857142857,0.666666666666667,1.33299386558195
5,0.8222,1.57142857142857,0.666666666666667,1.3014525068163
5,0.8671,1.57142857142857,0.666666666666667,1.26367571411041
5,0.9124,1.57142857142857,0.666666666666667,1.24759331872209
5,0.9541,1.57142857142857,0.666666666666667,1.21594137666662
5,1.00535,1.57142857142857,0.666666666666667,1.18868589824336
5,1.02665,1.57142857142857,0.666666666666667,1.16094858142279
5,1.0534,1.57142857142857,0.666666666666667,1.15815650893769
5,1.0892,1.57142857142857,0.666666666666667,1.12770788144995
5,1.1232,1.57142857142857,0.666666666666667,1.10631336405779
5,1.2134,1.57142857142857,0.666666666666667,1.0672239585833
